size,accuracy,time_train
500,0.9664804469273743,0.006285
1000,0.9685288640595903,0.010302
1500,0.9705772811918063,0.019578
2000,0.970391061452514,0.024727
2500,0.9707635009310986,0.034758
3000,0.9709497206703911,0.048396
3500,0.9709497206703911,0.064608
4000,0.9711359404096834,0.082703
4500,0.9707635009310986,0.105665
5000,0.9709497206703911,0.125014
12528,0.9718808193668529,0.596062
